date,teste
Gastos P&D durante,387.2983346207417
Gastos P&D durante,783.5837542981606
Gastos P&D durante,206.15528128088303
Gastos P&D durante,1024.6950765959598
Gastos P&D durante,458.257569495584
Gastos P&D durante,141.4213562373095
Gastos P&D durante,474.3416490252569
Gastos P&D durante,0.0
Gastos P&D durante,0.0
Gastos P&D durante,418.33001326703777
Gastos P&D durante,223.60679774997897
Gastos P&D durante,485.7983120596448
Gastos P&D durante,230.21728866442677
Gastos P&D durante,0.0
Gastos P&D durante,246.9817807045694
Gastos P&D durante,264.5751311064591
Gastos P&D durante,221.35943621178654
Gastos P&D durante,312.2498999199199
Gastos P&D durante,173.20508075688772
Gastos P&D durante,200.0
Gastos P&D durante,219.08902300206645
Gastos P&D durante,234.5207879911715
Gastos P&D durante,572.4332930569291
Gastos P&D durante,138.5640646055102
Gastos P&D durante,111.80339887498948
Gastos P&D durante,447.21359549995793
Gastos P&D durante,0.0
Gastos P&D durante,534.7896782848375
Gastos P&D durante,370.6299704557094
Gastos P&D durante,375.4996671103718
Gastos P&D durante,323.88269481403296
Gastos P&D durante,400.0
Gastos P&D durante,273.8612787525831
Gastos P&D durante,419.41940226937527
Gastos P&D durante,316.22776601683796
Gastos P&D durante,350.2821576957639
Gastos P&D durante,86.60254037844386
Gastos P&D durante,0.0
Gastos P&D durante,360.5551275463989
Gastos P&D durante,0.0
Gastos P&D durante,908.549929833248
Gastos P&D durante,141.4213562373095
Gastos P&D durante,415.67769365218527
Gastos P&D durante,0.0
Gastos P&D durante,50.0
Gastos P&D durante,541.718930811911
Gastos P&D durante,0.0
Gastos P&D durante,141.4213562373095
Gastos P&D durante,223.60679774997897
Gastos P&D durante,187.08286933869707
Gastos P&D durante,0.0
Gastos P&D durante,387.2983346207417
Gastos P&D durante,469.041575982343
Gastos P&D durante,1089.954127475097
Gastos P&D durante,223.60679774997897
Gastos P&D durante,63.245553203367585
Gastos P&D durante,455.52167895721493
Gastos P&D durante,273.8612787525831
Gastos P&D durante,301.66206257996714
Gastos P&D durante,316.22776601683796
Gastos P&D durante,212.13203435596427
Gastos P&D durante,187.08286933869707
Gastos P&D durante,1279.1207917941135
Gastos P&D durante,540.231357845877
Gastos P&D durante,109.54451150103323
Gastos P&D durante,223.60679774997897
Gastos P&D durante,158.11388300841898
Gastos P&D durante,419.52353926806063
Gastos P&D durante,282.842712474619
Gastos P&D durante,50.0
Gastos P&D durante,930.0537618869137
Gastos P&D durante,333.51161898800467
Gastos P&D durante,339.7924366433132
Gastos P&D durante,568.8214043089448
Gastos P&D durante,282.842712474619
Gastos P&D durante,458.257569495584
Gastos P&D durante,379.68947838990744
Gastos P&D durante,304.9590136395381
Gastos P&D durante,591.6079783099616
Gastos P&D durante,696.1807236630442
Gastos P&D durante,565.685424949238
Gastos P&D durante,193.64916731037084
Gastos P&D durante,0.0
Gastos P&D durante,422.5448319409433
Gastos P&D durante,229.128784747792
Gastos P&D durante,522.0011158991904
Gastos P&D durante,645.9527846522531
